Freq.	V(out)
2.45470891568503e+000	7.10989558954601e+001,-1.69042845905807e+001
2.51188643150958e+000	7.09141458779966e+001,-1.72513753254705e+001
2.57039578276886e+000	7.07216915065465e+001,-1.76034889819449e+001
2.63026799189538e+000	7.05213254604105e+001,-1.79605545618154e+001
2.69153480392691e+000	7.03127754584421e+001,-1.83224893281832e+001
2.75422870333816e+000	7.00957645891771e+001,-1.86891981547244e+001
2.81838293126445e+000	6.98700116896015e+001,-1.90605728647954e+001
2.88403150312660e+000	6.96352317756285e+001,-1.94364915629515e+001
2.95120922666638e+000	6.93911365273661e+001,-1.98168179618393e+001
3.01995172040201e+000	6.91374348321396e+001,-2.02014007077908e+001
3.09029543251359e+000	6.88738333882171e+001,-2.05900727088945e+001
3.16227766016837e+000	6.86000373720594e+001,-2.09826504697528e+001
3.23593656929628e+000	6.83157511717030e+001,-2.13789334375669e+001
3.31131121482591e+000	6.80206791886795e+001,-2.17787033646446e+001
3.38844156139202e+000	6.77145267106532e+001,-2.21817236929580e+001
3.46736850452531e+000	6.73970008564937e+001,-2.25877389667430e+001
3.54813389233575e+000	6.70678115953059e+001,-2.29964742797662e+001
3.63078054770101e+000	6.67266728402466e+001,-2.34076347641779e+001
3.71535229097172e+000	6.63733036175747e+001,-2.38209051284382e+001
3.80189396320560e+000	6.60074293106776e+001,-2.42359492521544e+001
3.89045144994280e+000	6.56287829782547e+001,-2.46524098461574e+001
3.98107170553496e+000	6.52371067448513e+001,-2.50699081863099e+001
4.07380277804112e+000	6.48321532613249e+001,-2.54880439300226e+001
4.16869383470335e+000	6.44136872317565e+001,-2.59063950245302e+001
4.26579518801592e+000	6.39814870023561e+001,-2.63245177161581e+001
4.36515832240165e+000	6.35353462068857e+001,-2.67419466698678e+001
4.46683592150962e+000	6.30750754619625e+001,-2.71581952082567e+001
4.57088189614874e+000	6.26005041044225e+001,-2.75727556790052e+001
4.67735141287197e+000	6.21114819617778e+001,-2.79850999594751e+001
4.78630092322637e+000	6.16078811454639e+001,-2.83946801065989e+001
4.89778819368445e+000	6.10895978554121e+001,-2.88009291596491e+001
5.01187233627271e+000	6.05565541831770e+001,-2.92032621025839e+001
5.12861383991364e+000	6.00086998997049e+001,-2.96010769917703e+001
5.24807460249771e+000	5.94460142126296e+001,-2.99937562536294e+001
5.37031796370252e+000	5.88685074769519e+001,-3.03806681554756e+001
5.49540873857623e+000	5.82762228419552e+001,-3.07611684512101e+001
5.62341325190348e+000	5.76692378164594e+001,-3.11346022019086e+001
5.75439937337156e+000	5.70476657337757e+001,-3.15003057693683e+001
5.88843655355588e+000	5.64116570973587e+001,-3.18576089787428e+001
6.02559586074356e+000	5.57614007878514e+001,-3.22058374441748e+001
6.16595001861481e+000	5.50971251122629e+001,-3.25443150490576e+001
6.30957344480192e+000	5.44190986763732e+001,-3.28723665703267e+001
6.45654229034654e+000	5.37276310619127e+001,-3.31893204335541e+001
