Freq.	V(out)
7.58577575029180e+001	3.80266015138406e+000,-9.30471073549030e+000
7.76247116628688e+001	3.74804526189969e+000,-9.09675888924544e+000
7.94328234724277e+001	3.69579400558111e+000,-8.89301183452191e+000
8.12830516164095e+001	3.64580586183069e+000,-8.69340155650910e+000
8.31763771102667e+001	3.59798422995870e+000,-8.49785969694541e+000
8.51138038202372e+001	3.55223629837012e+000,-8.30631767308302e+000
8.70963589956076e+001	3.50847291569311e+000,-8.11870678763968e+000
8.91250938133741e+001	3.46660846405751e+000,-7.93495833024022e+000
9.12010839355905e+001	3.42656073470523e+000,-7.75500367083038e+000
9.33254300796986e+001	3.38825080608106e+000,-7.57877434552731e+000
9.54992586021431e+001	3.35160292452799e+000,-7.40620213534975e+000
9.77237220955805e+001	3.31654438768794e+000,-7.23721913825333e+000
9.99999999999995e+001	3.28300543068633e+000,-7.07175783487570e+000
1.02329299228075e+002	3.25091911515955e+000,-6.90975114837879e+000
1.04712854805089e+002	3.22022122116724e+000,-6.75113249875562e+000
1.07151930523760e+002	3.19085014201591e+000,-6.59583585195135e+000
1.09647819614318e+002	3.16274678200529e+000,-6.44379576413229e+000
1.12201845430196e+002	3.13585445709781e+000,-6.29494742141561e+000
1.14815362149688e+002	3.11011879849868e+000,-6.14922667536042e+000
1.17489755493952e+002	3.08548765912681e+000,-6.00657007450195e+000
1.20226443461741e+002	3.06191102294467e+000,-5.86691489219565e+000
1.23026877081237e+002	3.03934091711115e+000,-5.73019915102414e+000
1.25892541179416e+002	3.01773132691272e+000,-5.59636164400465e+000
1.28824955169313e+002	2.99703811342233e+000,-5.46534195282203e+000
1.31825673855640e+002	2.97721893383320e+000,-5.33708046329787e+000
1.34896288259165e+002	2.95823316440557e+000,-5.21151837829560e+000
1.38038426460288e+002	2.94004182596731e+000,-5.08859772824824e+000
1.41253754462275e+002	2.92260751189999e+000,-4.96826137948505e+000
1.44543977074592e+002	2.90589431854475e+000,-4.85045304052183e+000
1.47910838816820e+002	2.88986777795678e+000,-4.73511726646997e+000
1.51356124843620e+002	2.87449479293783e+000,-4.62219946170981e+000
1.54881661891247e+002	2.85974357427418e+000,-4.51164588096389e+000
1.58489319246110e+002	2.84558358010660e+000,-4.40340362889814e+000
1.62181009735892e+002	2.83198545735901e+000,-4.29742065836922e+000
1.65958690743755e+002	2.81892098515160e+000,-4.19364576743107e+000
1.69824365246173e+002	2.80636302012377e+000,-4.09202859520291e+000
1.73780082874936e+002	2.79428544359448e+000,-3.99251961669744e+000
1.77827941003891e+002	2.78266311048485e+000,-3.89507013669862e+000
1.81970085860997e+002	2.77147179993108e+000,-3.79963228277478e+000
1.86208713666286e+002	2.76068816751464e+000,-3.70615899750466e+000
1.90546071796323e+002	2.75028969903790e+000,-3.61460402999058e+000
1.94984459975803e+002	2.74025466577457e+000,-3.52492192672595e+000
1.99526231496887e+002	2.73056208112418e+000,-3.43706802188103e+000
2.04173794466952e+002	2.72119165860166e+000,-3.35099842706572e+000
2.08929613085403e+002	2.71212377109303e+000,-3.26667002062359e+000
2.13796208950222e+002	2.70333941131036e+000,-3.18404043650773e+000
2.18776162394954e+002	2.69482015337859e+000,-3.10306805278524e+000
2.23872113856832e+002	2.68654811548887e+000,-3.02371197981376e+000
2.29086765276776e+002	2.67850592355377e+000,-2.94593204812962e+000
2.34422881531991e+002	2.67067667579967e+000,-2.86968879608477e+000
2.39883291901947e+002	2.66304390823421e+000,-2.79494345726622e+000
2.45470891568501e+002	2.65559156092550e+000,-2.72165794772945e+000
2.51188643150956e+002	2.64830394503242e+000,-2.64979485307424e+000
2.57039578276885e+002	2.64116571052458e+000,-2.57931741538946e+000
2.63026799189536e+002	2.63416181453197e+000,-2.51018952009075e+000
2.69153480392690e+002	2.62727749026499e+000,-2.44237568267326e+000
2.75422870333815e+002	2.62049821644545e+000,-2.37584103539938e+000
2.81838293126443e+002	2.61380968719018e+000,-2.31055131393953e+000
2.88403150312659e+002	2.60719778228895e+000,-2.24647284398314e+000
2.95120922666637e+002	2.60064853781947e+000,-2.18357252783409e+000
3.01995172040200e+002	2.59414811704066e+000,-2.12181783100448e+000
3.09029543251357e+002	2.58768278150803e+000,-2.06117676881838e+000
3.16227766016836e+002	2.58123886235313e+000,-2.00161789303713e+000
3.23593656929626e+002	2.57480273166945e+000,-1.94311027851452e+000
3.31131121482589e+002	2.56836077394796e+000,-1.88562350989127e+000
3.38844156139200e+002	2.56189935750402e+000,-1.82912766833563e+000
3.46736850452529e+002	2.55540480583779e+000,-1.77359331833656e+000
3.54813389233573e+002	2.54886336886975e+000,-1.71899149455466e+000
3.63078054770099e+002	2.54226119399232e+000,-1.66529368873558e+000
3.71535229097170e+002	2.53558429687793e+000,-1.61247183668960e+000
3.80189396320558e+002	2.52881853198357e+000,-1.56049830533982e+000
3.89045144994278e+002	2.52194956268989e+000,-1.50934587984168e+000
